
🎸DJ音乐,#genre#
热门DJ《只想做你的新娘》,https://vd3.bdstatic.com/mda-qh0hr3cv92jrthkd/fhd/bd265_cae_roi_v6/1725991417038820480/mda-qh0hr3cv92jrthkd.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=1620382257&vt=1&svt=1&cr_max=3&s_score=4.851500&pt=1&av=13.53.0.10&vid=15977625905109282612&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=952&sle=1&split=1737951
情歌对唱《红尘情歌》DJ完整版,https://vd3.bdstatic.com/mda-qeaj03ej9yt2ss2p/fhd/bd265_cae_roi_v6/1715435421468538426/mda-qeaj03ej9yt2ss2p.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=2489983849&vt=1&svt=1&cr_max=3&s_score=5.425700&pt=1&av=13.53.0.10&vid=12324676430991537336&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=763&sle=1&split=1422757
伤感DJ歌曲《兑现承诺伤透心》,https://vd3.bdstatic.com/mda-qicepe3aqkziep9t/fhd/bd265_cae_roi_v6/1726224353010948252/mda-qicepe3aqkziep9t.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=2957620067&vt=1&svt=1&cr_max=3&s_score=5.328900&pt=1&av=13.53.0.10&vid=10092639122537401736&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=836&sle=1&split=1536371
伤感DJ《谁借我一杯忘情酒》,https://vd3.bdstatic.com/mda-qm7eknz1g3brqkqt/1080p/bd265_cae_roi_v7/1733654123491076114/mda-qm7eknz1g3brqkqt.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3741550748&vt=1&svt=1&cr_max=3&s_score=5.103400&pt=1&av=13.53.0.10&vid=12325661182380810482&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=715&sle=1&split=1329788
苏勒亚其其格《拉萨夜雨》DJ版,https://vd3.bdstatic.com/mda-nak21rwivgxf0zbw/1080p/cae_h264_delogo/1642728672259167268/mda-nak21rwivgxf0zbw.mp4?cd=0&mpd=1&pd=20&logid=3368240755&vt=1&svt=1&cr_max=2&s_score=5.061600&pt=1&av=13.53.0.10&vid=9757588695326189656&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=0&sle=1&split=0
DJ舞曲陈琳《你的柔情我永远不懂》加舞蹈背景 百听不厌,https://vd2.bdstatic.com/mda-kg6y9rbty9qndaug/sc/mda-kg6y9rbty9qndaug.mp4
魏佳艺《情网2025》,https://vd2.bdstatic.com/mda-rbdhajhtkryde3ns/sc/cae_h264/1739538600030489056/mda-rbdhajhtkryde3ns.mp4?pd=-1&pt=-1&cr=2&vt=0&cd=0&did=cfcd208495d565ef66e7dff9f98764da&logid=2247061929&vid=4610640503914877856&auth_key=1748704048-0-0-33210d6babf35af4bc443edf9baec767&bcevod_channel=searchbox_feed
纯音乐DJ舞曲-拉萨夜雨,https://vd3.bdstatic.com/mda-qapjkag96yjs8tq8/fhd/bd265_cae_roi_v6/1707608180754290627/mda-qapjkag96yjs8tq8.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=1402157648&vt=1&svt=1&cr_max=3&s_score=5.088300&pt=1&av=13.53.0.10&vid=13656157662307505965&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=586&sle=1&split=1107489
金钰双双《伤情2025》dj版,https://vd3.bdstatic.com/mda-rchhszus709yp7sz/720p/bd265_cae_visr_v7/1742307889931367607/mda-rchhszus709yp7sz.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=2684601402&vt=1&svt=1&cr_max=2&s_score=4.717800&pt=1&av=13.53.0.10&vid=17246683162997806849&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=2&h265_s=1&sl=481&sle=1&split=933730
《疯疯疯》dj完整版,https://vd3.bdstatic.com/mda-rafdxx627w47kau2/720p/bd265_cae_visr_v7/1737044668457737921/mda-rafdxx627w47kau2.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=4107251055&vt=1&svt=1&cr_max=2&s_score=5.535000&pt=1&av=13.53.0.10&vid=12870409836487241239&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=2&h265_s=1&sl=594&sle=1&split=1146978
苏谭谭-《叹这一生》DJ亚明版,https://vd3.bdstatic.com/mda-qa1373gd2muzaj8h/fhd/bd265_cae_roi_v6/1704163324132775146/mda-qa1373gd2muzaj8h.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=1484544132&vt=1&svt=1&cr_max=5&s_score=4.683200&pt=1&av=13.53.0.10&vid=7020093285403584723&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=599&sle=1&split=1152493
侯泽润《一句先苦后甜》DJ KTV默涵版,https://vd3.bdstatic.com/mda-qa44wmn72awpw306/fhd/bd265_cae_roi_v6/1704429183397035008/mda-qa44wmn72awpw306.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=2028628613&vt=1&svt=1&cr_max=5&s_score=5.136800&pt=1&av=13.53.0.10&vid=2828681605331221276&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=871&sle=1&split=1584785
米灵《亲爱的对不起》DJ月之歌版,https://vd3.bdstatic.com/mda-qau2zq2kveq43ujs/fhd/bd265_cae_roi_v6/1706497099539720372/mda-qau2zq2kveq43ujs.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=1783958896&vt=1&svt=1&cr_max=5&s_score=5.868000&pt=1&av=13.53.0.10&vid=7420206056967753432&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1146&sle=1&split=2076933
六仔哥《山鬼喝不了道士的酒》DJ 阿卓KTV版,https://vd3.bdstatic.com/mda-qed4vt9ht51xwaiq/fhd/bd265_cae_roi_v6/1715659110042457469/mda-qed4vt9ht51xwaiq.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3637500540&vt=1&svt=1&cr_max=5&s_score=5.321400&pt=1&av=13.53.0.10&vid=12929297438189291342&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=840&sle=1&split=1533177
赵洋《佛前迷失的莲》dj九零版,https://vd3.bdstatic.com/mda-qem35iytmnyxh7c4/fhd/bd265_cae_roi_v6/1716363749686439424/mda-qem35iytmnyxh7c4.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3637455411&vt=1&svt=1&cr_max=5&s_score=5.740000&pt=1&av=13.53.0.10&vid=8841866491230529894&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1100&sle=1&split=1968569
梅朵《有没有一种思念永不疲惫》DJ何鹏KTV版,https://vd3.bdstatic.com/mda-qf6avizmenrm9qdj/fhd/bd265_cae_roi_v6/1717749397949426412/mda-qf6avizmenrm9qdj.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=460464638&vt=1&svt=1&cr_max=5&s_score=5.786600&pt=1&av=13.53.0.10&vid=3283611074343044045&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1035&sle=1&split=1879745
科尔沁夫《画你》DJ默涵版,https://vd3.bdstatic.com/mda-qfn1zu25gpbs7hfr/fhd/bd265_cae_roi_v6/1725591603019967395/mda-qfn1zu25gpbs7hfr.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3318899563&vt=1&svt=1&cr_max=5&s_score=4.072000&pt=1&av=13.53.0.10&vid=14840734638180762321&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=893&sle=1&split=1634797
王爱华《你是我的城堡》DJ默涵版,https://vd3.bdstatic.com/mda-qfn2bmmx7hn4zwps/fhd/bd265_cae_roi_v6/1719123192615014551/mda-qfn2bmmx7hn4zwps.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3270815029&vt=1&svt=1&cr_max=5&s_score=5.984300&pt=1&av=13.53.0.10&vid=16221986480264322640&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1128&sle=1&split=2028185
赵洋《今生欠我的你来世能还吗》dj默涵版,https://vd3.bdstatic.com/mda-qfp2ddy5jete290u/fhd/bd265_cae_roi_v6/1719197876524064759/mda-qfp2ddy5jete290u.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=746430653&vt=1&svt=1&cr_max=5&s_score=5.953400&pt=1&av=13.53.0.10&vid=6268534792227907874&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=972&sle=1&split=1771201
燕宝儿《半痴半傻半疯癫》DJ默涵KTV版,https://vd3.bdstatic.com/mda-qfr2xnt6v2vnwwv9/fhd/bd265_cae_roi_v6/1726173397901365894/mda-qfr2xnt6v2vnwwv9.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=1419233039&vt=1&svt=1&cr_max=5&s_score=6.092800&pt=1&av=13.53.0.10&vid=2129773766013029540&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=968&sle=1&split=1769557
就是南方凯《离别开出花》DJ铁柱版,https://vd3.bdstatic.com/mda-qfs2eu5k1edfatz3/fhd/bd265_cae_roi_v6/1719457181407020303/mda-qfs2eu5k1edfatz3.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3066435476&vt=1&svt=1&cr_max=5&s_score=5.453100&pt=1&av=13.53.0.10&vid=1976938032216570653&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=832&sle=1&split=1538357
燕宝儿《想你时候你不在》DJ默涵版,https://vd3.bdstatic.com/mda-qfv3ram2ntjmfs2e/fhd/bd265_cae_roi_v6/1719744250403125542/mda-qfv3ram2ntjmfs2e.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=2646480067&vt=1&svt=1&cr_max=5&s_score=6.134400&pt=1&av=13.53.0.10&vid=6426141410984539250&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=741&sle=1&split=1362641
田娥《怎么舍得让我痛断肠》DJ版,https://vd3.bdstatic.com/mda-qh12d6tjvh0frt0z/fhd/bd265_cae_roi_v6/1722566710013812385/mda-qh12d6tjvh0frt0z.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=1872015992&vt=1&svt=1&cr_max=5&s_score=5.385100&pt=1&av=13.53.0.10&vid=8626211098159524811&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=841&sle=1&split=1542529
燕宝儿《怪我不该爱上你》DJ 阿能版,https://vd3.bdstatic.com/mda-qj1559i4u6cdt02n/fhd/bd265_cae_roi_v6/1727846179841110799/mda-qj1559i4u6cdt02n.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3601487703&vt=1&svt=1&cr_max=5&s_score=6.300400&pt=1&av=13.53.0.10&vid=17847945190713588377&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=996&sle=1&split=1828705
黑大婶回乡带娃《苹果香》DJ 默涵版,https://vd3.bdstatic.com/mda-qjk9cx9psmf86gap/1080p/cae_h264/1729493067336107470/mda-qjk9cx9psmf86gap.mp4?cd=0&mpd=1&pd=20&logid=821781305&vt=1&svt=1&cr_max=5&s_score=4.585400&pt=1&av=13.53.0.10&vid=5858482705464546832&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1694&sle=1&split=2996365
蔷薇团长《既然你已不爱我》DJ默涵版,https://vd3.bdstatic.com/mda-qkk24dxbdffswbb4/1080p/bd265_cae_roi_v7/1732192183943534837/mda-qkk24dxbdffswbb4.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=4205725493&vt=1&svt=1&cr_max=4&s_score=5.840900&pt=1&av=13.53.0.10&vid=5355876157434663339&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=635&sle=1&split=1196912
毕文婷-《爱你多深心就多凉》(DJ默涵版),https://vd3.bdstatic.com/mda-pmk53p35ft3mhsyx/fhd/bd265_cae_roi_v6/1703152589825735796/mda-pmk53p35ft3mhsyx.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=4172053835&vt=1&svt=1&cr_max=5&s_score=6.027300&pt=1&av=13.53.0.10&vid=5001129420464891574&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1100&sle=1&split=1984561
影子-《爱情像花瓣》（舞曲版）,https://vd3.bdstatic.com/mda-pmk55xiasjwg67eb/fhd/bd265_cae_roi_v6/1703145881475835129/mda-pmk55xiasjwg67eb.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=2596945403&vt=1&svt=1&cr_max=5&s_score=5.597200&pt=1&av=13.53.0.10&vid=10335489841677360251&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1089&sle=1&split=1945629
李乐乐《注定没结果》DJ版,https://vd3.bdstatic.com/mda-qkv1y0d3yzapzn4h/1080p/bd265_cae_roi_v7/1732944419768037339/mda-qkv1y0d3yzapzn4h.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=1085548481&vt=1&svt=1&cr_max=4&s_score=5.008200&pt=1&av=13.53.0.10&vid=3225976654118465725&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1380&sle=1&split=2464976
蔷薇团长《心醉了梦未了》DJ默涵版,https://vd3.bdstatic.com/mda-qm02dq081076sqpt/1080p/bd265_cae_roi_v7/1733035481021837968/mda-qm02dq081076sqpt.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=2273905162&vt=1&svt=1&cr_max=4&s_score=5.323300&pt=1&av=13.53.0.10&vid=10683346878834719537&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1041&sle=1&split=1862568
蔷薇团长《往事不要再提》DJ默涵版,https://vd3.bdstatic.com/mda-qm1ccczpu0svxrus/1080p/bd265_cae_roi_v7/1733175385717202900/mda-qm1ccczpu0svxrus.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=745660940&vt=1&svt=1&cr_max=4&s_score=4.973600&pt=1&av=13.53.0.10&vid=16284997253647376866&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=828&sle=1&split=1535424
刘晓超《摇太阳》DJ伟然版,https://vd3.bdstatic.com/mda-qm62dzqnn6bzu1bb/1080p/bd265_cae_roi_v7/1733949641047322425/mda-qm62dzqnn6bzu1bb.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3590597403&vt=1&svt=1&cr_max=4&s_score=5.062500&pt=1&av=13.53.0.10&vid=8365562099050081139&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1008&sle=1&split=1819660
王爱华《丢了我你愿意吗》DJ伟然版,https://vd3.bdstatic.com/mda-qmb5s46be0ay7ih2/1080p/bd265_cae_roi_v7/1734035465717641838/mda-qmb5s46be0ay7ih2.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3165838270&vt=1&svt=1&cr_max=4&s_score=4.870100&pt=1&av=13.53.0.10&vid=13317042945286135375&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=948&sle=1&split=1720816
王爱华《撞了南墙不醒悟》DJ默涵版,https://vd3.bdstatic.com/mda-ra143f66agjevqqp/1080p/bd265_cae_roi_v7/1735807184739557291/mda-ra143f66agjevqqp.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=4158991540&vt=1&svt=1&cr_max=4&s_score=5.819800&pt=1&av=13.53.0.10&vid=2023900864495575173&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=952&sle=1&split=1739236
邓寓君《春庭雪》0.9x版DJ Wave版,https://vd3.bdstatic.com/mda-rab2gzi18zpb8z00/1080p/bd265_cae_roi_v7/1736702976975594649/mda-rab2gzi18zpb8z00.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3138270226&vt=1&svt=1&cr_max=4&s_score=6.027600&pt=1&av=13.53.0.10&vid=9774533799973892807&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=820&sle=1&split=1579980
燕宝儿《露水情份泪满瞳》DJ默涵版,https://vd3.bdstatic.com/mda-rab2c4ee1v6vcb1a/1080p/bd265_cae_roi_v7/1736887235467702398/mda-rab2c4ee1v6vcb1a.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3010791923&vt=1&svt=1&cr_max=4&s_score=6.038500&pt=1&av=13.53.0.10&vid=4424202349977332334&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=966&sle=1&split=1773680
燕宝儿《为情痴为情醉》DJ 彭锐版,https://vd3.bdstatic.com/mda-rab28h9hb3rqnvj9/fhd/wz265_v3/1736708080579444176/mda-rab28h9hb3rqnvj9.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3260704082&vt=1&svt=1&cr_max=3&s_score=5.746300&pt=1&av=13.53.0.10&vid=6456788359688467923&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=707&sle=1&split=1317427
赵洋《日日相思日日伤》DJ 阿能版,https://vd3.bdstatic.com/mda-rau9uyhv72swtqzw/1080p/bd265_cae_roi_v7/1738180226614976239/mda-rau9uyhv72swtqzw.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3290263556&vt=1&svt=1&cr_max=4&s_score=6.393900&pt=1&av=13.53.0.10&vid=12144692579667256707&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1063&sle=1&split=1924400
王爱华《雪花漫天情依旧》DJ阿能版,https://vd3.bdstatic.com/mda-rau9xkmk1qfeq1rj/1080p/bd265_cae_roi_v7/1738180313697911361/mda-rau9xkmk1qfeq1rj.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3780359605&vt=1&svt=1&cr_max=4&s_score=6.330200&pt=1&av=13.53.0.10&vid=5223901657289750354&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1033&sle=1&split=1864264
李英《你的身边不再是我》DJ默涵版,https://vd3.bdstatic.com/mda-rde2yu5qk3cpccx4/1080p/bd265_cae_roi_v7/1744690857945749386/mda-rde2yu5qk3cpccx4.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=284458314&vt=1&svt=1&cr_max=5&s_score=5.715900&pt=1&av=13.53.0.10&vid=10648345764077443546&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=762&sle=1&split=1416051
王娜《玫瑰也曾温柔过》DJ,https://vd3.bdstatic.com/mda-rck34xef7dcd82ga/1080p/bd265_cae_roi_v7/1742537505906862365/mda-rck34xef7dcd82ga.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=1156480822&vt=1&svt=1&cr_max=5&s_score=5.477000&pt=1&av=13.53.0.10&vid=7102208752001996729&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1060&sle=1&split=1893560
金钰儿《风雨中的诺言》DJ京,https://vd3.bdstatic.com/mda-rbh7sbi0jjt24sjf/1080p/bd265_cae_roi_v7/1739862990928118087/mda-rbh7sbi0jjt24sjf.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=3780037605&vt=1&svt=1&cr_max=5&s_score=5.300500&pt=1&av=13.53.0.10&vid=12498497124254754029&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=1005&sle=1&split=1837176
车载DJ串烧～想你的时候问月亮～红颜知己,https://vd3.bdstatic.com/mda-qij6ymc1jg05br8z/sc/bd265_cae_visr_v6/1726813050891345418/mda-qij6ymc1jg05br8z.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=2504141023&vt=1&svt=1&cr_max=2&s_score=4.751500&pt=1&av=13.53.0.10&vid=3778946301221226518&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=2&h265_s=1&sl=830&sle=1&split=2238583
花姐DJ版《醉》,https://vdse.bdstatic.com/h265w2/wzdb6f384f6ec9915d43ea73c721e8beb5.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=4178270628&vt=-1&svt=-1&cr_max=2&s_score=-1.000000&pt=1&av=13.53.0.10&vid=3661354679106054471&mvt=-1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=2&h265_s=1&sl=622&sle=1&split=1175256
2024火遍网络伤感DJ情歌,https://vd3.bdstatic.com/mda-qjafbfvnq32jvtyr/fhd/bd265_cae_roi_v6/1728684915469925736/mda-qjafbfvnq32jvtyr.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=20&logid=4114468688&vt=1&svt=1&cr_max=3&s_score=4.712700&pt=1&av=13.53.0.10&vid=16330632135436175318&mvt=1&did=70b6dc0f1a7ab65529feb0f89c31b180&scene=5&cr=3&h265_s=1&sl=939&sle=1&split=2114192
